column,count,mean,std,min,25%,50%,75%,max
window_index,8100.0,149.5,86.60740555304271,0.0,74.75,149.5,224.25,299.0
window_start_sample,8100.0,1027194.4444444445,678304.7137501268,0.0,472875.0,958750.0,1487125.0,3466000.0
window_end_sample,8100.0,1028194.4444444445,678304.7137501268,1000.0,473875.0,959750.0,1488125.0,3467000.0
window_start_sec,8100.0,2054.3888888888887,1356.6094275002536,0.0,945.75,1917.5,2974.25,6932.0
window_end_sec,8100.0,2056.3888888888887,1356.6094275002536,2.0,947.75,1919.5,2976.25,6934.0
n_channels,8100.0,85.33333333333333,30.260016541004394,63.0,63.0,63.0,128.0,128.0
fs_hz,8100.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0
mean,8100.0,-4.7875025149610135e+29,4.897813991768559e+30,-3.012120806687822e+32,-163548669.6043135,-5235.836631944445,-2545.575484343998,499471853.8524603
std,8100.0,7.598134778752404e+27,1.5978752459189805e+29,709.3592967265118,1151.4343557733137,1815.08116028976,13429.956230080148,7.902809786215927e+30
var,8100.0,2.5586632562011993e+58,1.0576057667411927e+60,503190.6118523315,1325801.0865659753,3294519.627265371,180363740.69834018,6.245440251711023e+61
min,8100.0,-5.016195014874631e+29,5.076606396943533e+30,-3.0618210222280216e+32,-163882746.4047619,-9430.767981150793,-6749.978515625,479270599.5873016
max,8100.0,-4.651484932470319e+29,4.7608468030929386e+30,-2.9293834577026026e+32,-163457062.7063492,-1083.202380952381,2330.220424107143,513092393.7619048
rms,8100.0,4.7938129085888274e+29,4.90036396570581e+30,1075.6633238935076,3768.1575537150457,6546.917242267787,243428556.21034586,3.0123228432062734e+32
skew,8100.0,-0.15034518260545365,2.25981809696147,-31.597166604355106,-0.1625989139198371,-0.019050054456165227,0.093701902413084,31.46267996460224
kurtosis,8100.0,5.128341958074078,56.0190429761651,-2.0035160955147986,-0.2814751081724288,-0.07462117869619589,0.1587319089742527,998.9180308217788
bandpower_delta,8100.0,1.3224809361309833e+57,7.535775780196155e+58,4477.135708316742,42083.13852125073,88969.7349137872,11878131.255642926,6.40093603779899e+60
bandpower_theta,8100.0,1.6248452058195994e+56,1.0048435283936783e+58,3211.032936783462,26273.32773387623,52445.349241289936,4709503.915349489,8.876314311377552e+59
bandpower_alpha,8100.0,3.868801460643679e+55,1.3484416895245009e+57,3204.928445534196,20699.685230146653,39005.07910414462,2693877.9325461476,7.786650341921624e+58
bandpower_beta,8100.0,1.642507238159837e+56,6.001283732877129e+57,29231.375462986027,108965.84571374347,169879.26516449533,7778277.617160342,4.973457735128718e+59
bandpower_gamma,8100.0,1.0881781761468554e+56,3.378135479957892e+57,101748.08865166828,282590.46263325145,459827.85378443357,13892168.333037952,2.294418209027465e+59
ratio_alpha_beta,8100.0,0.3123697648016399,0.38786646132280744,0.00351589617230941,0.1504170332372693,0.21993522070706167,0.3334381172484526,7.788386454045381
ratio_theta_alpha,8100.0,1.7510978043967982,1.356610647472739,0.06645000402943603,0.9575461644502526,1.413287139401309,2.100949200644058,24.09538604203749
assumed_num_channels,8100.0,85.33333333333333,30.260016541004394,63.0,63.0,63.0,128.0,128.0
