epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,epoch_time_sec
1.0,1.412578584641489,1.4426446502923258,0.40178041543026705,0.2793734528244631,0.3547130150484645,0.25409810000019206
2.0,1.3784692910976661,1.3891996323531741,0.40979228486646885,0.3047958340042985,0.375138063236511,0.10046700000020792
3.0,1.3602207375391289,1.3574515242958636,0.3979228486646884,0.2957263970702693,0.3669243502874373,0.0855890000002546
4.0,1.3472013128281282,1.3328239280321479,0.3955489614243323,0.3020345848539839,0.37176929292553323,0.09668029999920691
5.0,1.3380071464029477,1.3144779452230526,0.38486646884272996,0.29756025216435017,0.3628790195865075,0.08321359999990818
6.0,1.3316615095446704,1.3058037747968905,0.3759643916913947,0.29051200973068547,0.35470858842624947,0.1028691000001345
7.0,1.3265518948591266,1.2990426914628252,0.3741839762611276,0.2866984563480097,0.35117247871929336,0.07824040000014065
8.0,1.3227824669661084,1.293984953586001,0.36439169139465877,0.2828317749732008,0.3422142259826929,0.07681640000009793
9.0,1.3197231002786431,1.2899337879628032,0.36409495548961424,0.28855185839170866,0.34793735727736563,0.0824663999992481
10.0,1.3177854902693737,1.2915640883346693,0.36112759643916914,0.2846017482446398,0.3436742059396634,0.1558164999996734
11.0,1.3163473564621095,1.2893667584710728,0.36350148367952523,0.2887650562680468,0.34902040386856614,0.1633996999998999
12.0,1.3148117756289852,1.286351589067046,0.35934718100890206,0.2890656257731702,0.3456653047146913,0.12631820000024163
13.0,1.3143922056183996,1.2860036204052254,0.35341246290801187,0.28901499588846935,0.3420500107787166,0.08786020000025019
14.0,1.313427570266621,1.2858398327841603,0.35311572700296734,0.2893280948831413,0.34148022698559305,0.08614540000053239
15.0,1.3131088376005102,1.2859451559247885,0.3554896142433234,0.2904374364099721,0.3440051280327656,0.10071440000047005
16.0,1.3124574441855221,1.2906421014038674,0.34955489614243324,0.28686876911955467,0.3400228239362587,0.08961809999982506
17.0,1.3121374074957741,1.2862357257028008,0.3540059347181009,0.2906232743022513,0.34125032822307044,0.07610530000056315
