strategy,cycles_completed,total_labels_reviewed,clean_macro_f1_final,drifted_macro_f1_final,clean_macro_f1_gain,drifted_macro_f1_gain,total_strategy_time_sec
random,3,96,0.3280423960425869,0.36408375661905396,-0.002883768748149773,0.0004699854377016588,3.0378509999718517
uncertainty,3,96,0.3331821985345318,0.3650276362299795,0.0022560337437951272,0.0014138650486272275,0.5436654000077397
hybrid,3,96,0.3318712354104496,0.36429145490490294,0.0009450706197129399,0.0006776837235506483,0.7145968999830075
