strategy,cycle_index,labels_added_this_cycle,cumulative_labels,clean_macro_f1_before,clean_macro_f1_after,drifted_macro_f1_before,drifted_macro_f1_after,clean_accuracy_after,drifted_accuracy_after,holdout_best_val_macro_f1,update_time_sec,throughput_after,latency_p50_after
random,1,32,32,0.33092616479073667,0.33176451761571624,0.3636137711813523,0.3660136953307936,0.45319709953856296,0.4891232696110745,0.14285714285714288,2.507279900019057,192123.8104259427,0.0007289063432835974
random,2,32,64,0.33176451761571624,0.3282769517167401,0.3660136953307936,0.36582443729126896,0.4475939353988134,0.4891232696110745,0.0625,0.02405829995404929,322505.20722861483,0.0005191407126403647
random,3,32,96,0.3282769517167401,0.3280423960425869,0.36582443729126896,0.36408375661905396,0.44495715227422544,0.484179301252472,0.1842948717948718,0.032395999995060265,129806.78707037144,0.0012296875411266228
uncertainty,1,32,32,0.33092616479073667,0.32987891021894694,0.3636137711813523,0.3634470859407844,0.44792353328938694,0.48253131179960446,0.0,0.02506439998978749,234052.56565595063,0.000675781393510988
uncertainty,2,32,64,0.32987891021894694,0.33094786954593447,0.3634470859407844,0.3636600130202054,0.44726433750823996,0.4838497033618985,0.1736111111111111,0.02950449998024851,224759.05456542724,0.0007589844699396053
uncertainty,3,32,96,0.33094786954593447,0.3331821985345318,0.3636600130202054,0.3650276362299795,0.4485827290705339,0.4831905075807515,0.18813131313131312,0.030757100030314177,216129.1927706582,0.000801562464403105
hybrid,1,32,32,0.33092616479073667,0.3308379317094692,0.3636137711813523,0.3637672762759652,0.4485827290705339,0.484838497033619,0.16666666666666666,0.026023400016129017,215044.61728881186,0.0007187500159488991
hybrid,2,32,64,0.3308379317094692,0.3309017304068951,0.3637672762759652,0.36582188070999544,0.45319709953856296,0.491430454845089,0.1919191919191919,0.0280602999846451,248336.37639243473,0.0006195311925694114
hybrid,3,32,96,0.3309017304068951,0.3318712354104496,0.36582188070999544,0.36429145490490294,0.44825313117996046,0.4904416611733685,0.18333333333333335,0.042758499970659614,229504.2281405671,0.0007999999525054591
