batch_index,feature,psi,wasserstein,mean_shift,std_ratio,drift_score
1,beta_power,8.009681331665215,0.24184639005901326,0.24184639005901326,1.7562081728274272,11.022517547440618
1,alpha_power,1.648570628308278,0.0289281427473662,0.02823964174659195,0.8922317913993182,2.1577141095042474
1,delta_power,0.7775695299423832,0.03916379329633545,0.03912959230764809,1.1986686498717385,1.6346602703891089
1,theta_power,1.447640214778944,0.043188205776895694,0.04288302317852745,1.2783170883720207,2.626060079206449
1,gamma_power,5.713291437655769,0.043913525804938146,0.04391352580493814,3.2359253110585184,9.508746111202907
2,beta_power,10.290484151012793,0.257794982977007,0.2577949829770069,1.518525417773406,13.50200225872078
2,alpha_power,0.7576473912620009,0.0289361505065,0.026863014689848932,0.8115255334907512,1.2669318112799877
2,delta_power,0.8260305852574368,0.03945977735470318,0.039392526956720214,1.1670054964426873,1.6895988697415159
2,theta_power,2.905788206007428,0.04962604508131965,0.04948029320346782,1.139448579657039,4.259868938578333
2,gamma_power,5.532106800069478,0.03999632672927957,0.039996326729279566,2.6709616773231746,8.988997186955512
3,beta_power,0.8901506558002772,0.05838534332059423,0.045609478247147395,2.0619359521307823,1.617494474262252
3,alpha_power,0.4301617042397857,0.020412404476234138,0.019744796300625603,0.9023405811285428,0.789425787156283
3,delta_power,0.3733377597310451,0.019345632235276692,0.01921512335356365,1.0092043732934004,0.7967125368238153
3,theta_power,0.8556544898559705,0.030356523503023612,0.02992022974920351,1.1496235171515714,1.6839530882214695
3,gamma_power,0.15480248638991145,0.0071728105759460755,0.005076509421242843,2.1985266982030693,0.7747499154319557
4,beta_power,3.0744652508451504,0.04253673032529133,0.020499552257553733,0.4532272867879687,3.604372691652673
4,alpha_power,2.540778051765185,0.07832482665039606,0.07817583330773718,1.3169518987536026,3.9193171184836766
4,delta_power,2.009932054130536,0.04428745844639349,0.04412360311177693,1.0694145290724792,2.9791530451900194
4,theta_power,4.299830973811004,0.04110272559283983,0.04030236744371031,0.9165523850666069,5.4213470787154385
4,gamma_power,0.2877144668224474,0.0028265374628300365,0.000887253474165902,0.71778035386601,0.5320126557428176
5,beta_power,1.8635233038675836,0.03258915484056653,0.0033244134878775977,0.464137151860641,2.269507391210019
5,alpha_power,1.8726432133315194,0.0435510629359791,0.043005813626024694,0.9796142406955302,2.639154219124589
5,delta_power,2.1697170727208883,0.05604858800209378,0.05589053795636997,1.1924982940828988,3.396327718636104
5,theta_power,3.570693845061657,0.04282755013973629,0.04200858404570372,0.9121964196950596,4.739272972662957
5,gamma_power,0.23079882476816999,0.0027932847134132547,0.0005879506327210772,0.6536909734135675,0.47222297201530194
6,beta_power,2.038247219536345,0.05360160432813044,0.053537414204905376,0.6446876139089913,2.705996920923448
6,alpha_power,0.22107289894048984,0.008357866534633964,0.0005537658178522697,1.0089747168302716,0.3681737100771558
6,delta_power,0.44567278387505577,0.012424678486402952,0.006249245781918336,0.690354777897381,0.7175840566965279
6,theta_power,0.322187653560295,0.006457184937272355,0.0048748117367491545,0.8631327440938634,0.4983763805861936
6,gamma_power,0.46230046759286403,0.005219547070738701,0.004850786233027881,0.5431114081462581,0.9134269476535188
7,beta_power,4.21691112851865,0.06574987319155655,0.06556607035472894,0.3286898598720191,5.035999637906054
7,alpha_power,0.5108659716759978,0.020528896273231036,0.016486258336313467,0.4946730698606637,0.8721803431150507
7,delta_power,0.5849887026558357,0.025490645545820156,0.025175205988895236,0.5710261790975019,1.1428457033814605
7,theta_power,0.7780888578129205,0.014696657819592864,0.011638193993134635,0.4275123685183697,1.179097262856852
7,gamma_power,0.5910483290929953,0.005073009381116378,0.004613571244700101,0.4947474657726411,1.0295095278141748
