strategy,cycle_index,labels_added_this_cycle,cumulative_labels,clean_macro_f1_before,clean_macro_f1_after,drifted_macro_f1_before,drifted_macro_f1_after,clean_accuracy_after,drifted_accuracy_after,holdout_best_val_macro_f1,update_time_sec,throughput_after,latency_p50_after
random,1,16,16,0.33092616479073667,0.32899667045568615,0.3636137711813523,0.3647679280664116,0.45187870797626895,0.4897824653922215,0.16666666666666666,1.43727629998466,452444.15586292674,0.0003773438947973773
random,2,16,32,0.32899667045568615,0.32915529762020596,0.3647679280664116,0.3656117285975636,0.45484508899143045,0.491430454845089,0.0,0.01301140000578016,368879.8649351839,0.0004296873612474883
uncertainty,1,16,16,0.33092616479073667,0.32842705035379005,0.3636137711813523,0.3657205301861628,0.45220830586684246,0.488793671720501,0.41666666666666663,0.01690340001368895,419043.4093079535,0.00036484379961621016
uncertainty,2,16,32,0.32842705035379005,0.32637592746677285,0.3657205301861628,0.36448260449213843,0.4535266974291364,0.489452867501648,0.4375,0.012749800051096827,355227.7243657834,0.0004660155354940798
