strategy,cycles_completed,total_labels_reviewed,clean_macro_f1_final,drifted_macro_f1_final,clean_macro_f1_gain,drifted_macro_f1_gain,total_strategy_time_sec
random,2,32,0.32915529762020596,0.3656117285975636,-0.00177086717053071,0.0019979574162112823,1.6534494999796152
uncertainty,2,32,0.32637592746677285,0.36448260449213843,-0.004550237323963813,0.0008688333107861324,0.22690050001256168
