epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,epoch_time_sec
1.0,1.3560902799351453,1.3012001981367343,0.36379821958456976,0.24655965286178258,0.29616479650751737,0.2886951999998928
2.0,1.3235101382285406,1.2727859022355574,0.3543026706231454,0.25039787504253735,0.3021754000713092,0.15782579999995505
3.0,1.3137884362142762,1.2783151237476473,0.3489614243323442,0.27028001468559276,0.32575578524578674,0.13631750000058673
4.0,1.3115505203820366,1.2787354232295685,0.34599406528189913,0.2850578931934048,0.33409885586342264,0.14073740000003454
5.0,1.3044192388618647,1.270655400462957,0.35637982195845697,0.2750359940376367,0.3283732173451301,0.12387680000028922
6.0,1.302235226709808,1.2741687308433147,0.35074183976261125,0.25844562950990835,0.31011160398593673,0.15515879999929894
7.0,1.3016262455044352,1.273132143742253,0.3700296735905044,0.28600140969982785,0.350993147291719,0.13188109999919106
8.0,1.3012287485844276,1.2758747332881395,0.3548961424332344,0.2804818820185126,0.3404632264762949,0.1365270000005694
9.0,1.2966537223765844,1.276146201776114,0.3626112759643917,0.28159760665266614,0.3420774823363735,0.12135269999998854
10.0,1.2948962203102536,1.2832339498338785,0.3602373887240356,0.2702900141945527,0.3256503127848437,0.17519800000081887
11.0,1.2945241356008343,1.2769970129080979,0.38991097922848666,0.3043280684255407,0.36673439494112664,0.12862769999992452
12.0,1.2940710894630558,1.2816207893524396,0.3584569732937685,0.2709250638818372,0.3298487641919137,0.13845169999967766
13.0,1.2941756995347806,1.2773359864684877,0.3655786350148368,0.2903569465392775,0.3473136695120267,0.1481456999999864
14.0,1.293760332335771,1.2786478356013313,0.36676557863501486,0.2832774859372668,0.344137960610885,0.12019710000004125
15.0,1.293047616506658,1.2779472873189683,0.37270029673590505,0.2911312264812863,0.34592834710469167,0.1637074999998731
16.0,1.2912308358616478,1.2735466700279394,0.37863501483679524,0.2891400848242192,0.34321086633926834,0.12559980000060023
17.0,1.2911044607335813,1.269488759139879,0.3765578635014837,0.2946666265076013,0.35056715032043173,0.13059229999998934
18.0,1.2909811071858428,1.2733981941149568,0.3718100890207715,0.29693687359151516,0.3503321390157565,0.1403409999993528
19.0,1.2862346516117749,1.2766039695513354,0.3649851632047478,0.2792334041516157,0.3339691986535255,0.14531499999975495
20.0,1.285379896008258,1.2736320081733454,0.3685459940652819,0.2996670232304266,0.35739458908978383,0.22176779999972496
21.0,1.2874469488006535,1.2785306185572367,0.3774480712166172,0.303947080722696,0.36260897747681203,0.12862300000051619
22.0,1.2860137114738304,1.2774784034366777,0.3540059347181009,0.28554325787376267,0.33653511549648774,0.1333875000000262
23.0,1.28583986990703,1.2796046143823279,0.35578635014836796,0.28596997370969973,0.33848701888196214,0.15267990000029386
24.0,1.2898990607189433,1.2765289254287584,0.356973293768546,0.2802421466668792,0.3334209343178605,0.15429949999997916
25.0,1.2852278007075908,1.2828428997837824,0.3893175074183976,0.30383426730860064,0.3660665626302505,0.12319279999974242
26.0,1.2836907981903374,1.282892857814755,0.3795252225519288,0.2940155245183932,0.35154342645208203,0.15977939999993396
