stage,source_dir,clean_accuracy,clean_macro_f1,clean_weighted_f1,drifted_accuracy,drifted_macro_f1,macro_f1_gain_vs_baseline,queries_or_reviews,updates_or_cycles,estimated_human_time_sec,throughput_samples_per_sec,peak_ram_mb,notes
baseline_trainrun,D:\AI Project\EEG Creativity Analysis\runs\20260314_095455_torch_mlp_expanded_baseline_mlp,0.44726433750823996,0.33092616479073667,0.4382552012510617,,,0.0,0,0,0.0,269090.90909469465,418.48828125,Milestone 2 baseline test performance
phase2_continual_learning,D:\AI Project\EEG Creativity Analysis\runs\milestone4\20260406_152452_phase2_acceptance,,,0.459883527511045,0.46407382992748847,0.3504253639967537,0.01949919920601706,0,2,0.0,281899.5234553991,405.1328125,Replay buffer final size=1332
phase3_hitl,D:\AI Project\EEG Creativity Analysis\runs\milestone4\20260406_153744_phase3_acceptance,,,,,,,288,12,,,,"coverage=0.0949, correction_rate=0.5972"
phase4_active_learning_best,D:\AI Project\EEG Creativity Analysis\runs\milestone4\20260406_155249_phase4_acceptance,,0.3331821985345318,,,0.3650276362299795,0.0022560337437951272,96,3,,,,Best strategy=uncertainty
phase5_end_to_end_system,D:\AI Project\EEG Creativity Analysis\runs\milestone4\20260406_161825_phase5_acceptance,0.4495715227422544,0.332954287520195,,0.4924192485168095,0.37273998233430283,0.002028122729458348,192,3,480.0,253496.6487226328,405.3203125,final_model_version=3
