update_index,model_version,trigger_batch,trigger_reason,reviewed_samples_used,replay_samples_used,holdout_macro_f1_before,holdout_macro_f1_after,update_time_sec,peak_ram_mb_before,peak_ram_mb_after,best_val_macro_f1
1,1,3,reviewed_label_threshold,48,19,0.3333333333333333,0.32142857142857145,2.2851949999458157,356.54296875,405.421875,0.32142857142857145
2,2,6,reviewed_label_threshold,48,19,0.24999999999999997,0.29861111111111105,0.020549100008793175,406.171875,406.2109375,0.29861111111111105
3,3,9,reviewed_label_threshold,48,19,0.2111111111111111,0.3392857142857143,0.022466700000222772,406.30078125,406.3046875,0.3392857142857143
