batch_index,feature,psi,wasserstein,mean_shift,std_ratio,drift_score
1,beta_power,8.009681331665215,0.24184639005901326,0.24184639005901326,1.7562081728274272,11.022517547440618
1,alpha_power,1.648570628308278,0.0289281427473662,0.02823964174659195,0.8922317913993182,2.1577141095042474
1,delta_power,0.7775695299423832,0.03916379329633545,0.03912959230764809,1.1986686498717385,1.6346602703891089
1,theta_power,1.447640214778944,0.043188205776895694,0.04288302317852745,1.2783170883720207,2.626060079206449
1,gamma_power,5.713291437655769,0.043913525804938146,0.04391352580493814,3.2359253110585184,9.508746111202907
2,beta_power,10.290484151012793,0.257794982977007,0.2577949829770069,1.518525417773406,13.50200225872078
2,alpha_power,0.7576473912620009,0.0289361505065,0.026863014689848932,0.8115255334907512,1.2669318112799877
2,delta_power,0.8260305852574368,0.03945977735470318,0.039392526956720214,1.1670054964426873,1.6895988697415159
2,theta_power,2.905788206007428,0.04962604508131965,0.04948029320346782,1.139448579657039,4.259868938578333
2,gamma_power,5.532106800069478,0.03999632672927957,0.039996326729279566,2.6709616773231746,8.988997186955512
3,beta_power,0.8901506558002772,0.05838534332059423,0.045609478247147395,2.0619359521307823,1.617494474262252
3,alpha_power,0.4301617042397857,0.020412404476234138,0.019744796300625603,0.9023405811285428,0.789425787156283
3,delta_power,0.3733377597310451,0.019345632235276692,0.01921512335356365,1.0092043732934004,0.7967125368238153
3,theta_power,0.8556544898559705,0.030356523503023612,0.02992022974920351,1.1496235171515714,1.6839530882214695
3,gamma_power,0.15480248638991145,0.0071728105759460755,0.005076509421242843,2.1985266982030693,0.7747499154319557
4,beta_power,3.0074004805048173,0.042867890558840285,0.020696254963832317,0.4474496524784652,3.5414333975893166
4,alpha_power,2.5386250862712965,0.07814414196194726,0.07800858412603238,1.3188268249136654,3.9139840514506385
4,delta_power,1.971833875041495,0.04432983984545999,0.04416234389580276,1.0645927759116722,2.9419823734144863
4,theta_power,3.6088098527263552,0.04105776950949,0.04029012982564596,0.9208281770481821,4.7290993000122725
4,gamma_power,0.295839280821931,0.002855795862754032,0.0009587764144079435,0.7229850330952449,0.5426662790031498
5,beta_power,1.050419100305657,0.03295878159384233,0.0034792742272627963,0.461256399407004,1.4610078661314763
5,alpha_power,1.89592289172044,0.04373431201497615,0.04323104530783907,0.9750732118156658,2.665659133050451
5,delta_power,1.413784330807344,0.05632118083703587,0.05615842536868357,1.1977442432369023,2.6463606091364875
5,theta_power,3.5840756691976727,0.04271619168417926,0.04190572860543579,0.9117305007233996,4.74961630483711
5,gamma_power,0.28488927333610975,0.002900100352526581,0.0005244899861826767,0.6472966433158437,0.5355455172835029
6,beta_power,2.0320461218392203,0.053887791233320825,0.05383439695706091,0.6488496451972985,2.7033610377917667
6,alpha_power,0.26463645804983693,0.008529628451143566,0.0008399651279912407,1.013707030504856,0.4147603274198751
6,delta_power,0.44796240479703275,0.012253596440077258,0.006101385716372018,0.6928410165028426,0.71612958580766
6,theta_power,0.3358390832037527,0.006390915281884927,0.0048426979900960815,0.8628677209694741,0.5102195971559078
6,gamma_power,0.514054604801884,0.005245458424109412,0.004854439328929896,0.5383977918142231,0.9674206082313898
7,beta_power,4.23444034114034,0.06583365927428475,0.06570461269286523,0.32002905623220385,5.0545726277135845
7,alpha_power,0.5134328680413349,0.02033062405016795,0.016428918439812937,0.49814973350342623,0.8712575923655901
7,delta_power,0.6264688858465386,0.02536855640981472,0.024882223190535013,0.5596270121843901,1.1816539935002228
7,theta_power,0.7755011715018892,0.01455282150536875,0.011406572221358352,0.42846576688707844,1.172584903898308
7,gamma_power,0.5785387014313514,0.0050051624026728045,0.0046331789926424664,0.500137971576413,1.011135872459479
